product_category,product_full_name,product_header_name,product_description,business_line,matched_categories,product_id,product_price,product_name,vendor_code
سنگک,سنگک سنتی ساده,سنگک سنتی ساده,یک عدد، آرد کامل تیره و سبوس دار ,Bakery,نان فانتزی,31012,10000,سنگک سنتی ساده,5gng82
سنگک,سنگک سنتی دو رو کنجد,سنگک سنتی دو رو کنجد,یک عدد، کنجد سفید و مشکی، آرد کامل,Bakery,نان فانتزی,31013,13000,سنگک سنتی دو رو کنجد,5gng82
لواش,نان لواش تهرانی,نان لواش تهرانی,بسته هشت عددی,Bakery,نان فانتزی,31015,27000,نان لواش تهرانی,5gng82
لواش,نان لواش تهران (هشت عدد),نان لواش تهران (هشت عدد),,Bakery,نان فانتزی,51096,45000,نان لواش تهران (هشت عدد),2mpx35
نان شیرین,کلوچه سنتی زنجبیلی 18 عدد,کلوچه سنتی زنجبیلی,کلوچه سنتی زنجبیلی,Bakery,نان فانتزی,51111,100000,18 عدد,2mpx35
نان شیرین,کلوچه خرمایی 16 عدد,کلوچه خرمایی,کلوچه خرمایی,Bakery,نان فانتزی,51112,78000,16 عدد,2mpx35
سایر محصولات نانوایی,آرد سبوس دار یک کیلوگرم,آرد سبوس دار,آرد سبوس دار,Bakery,نان فانتزی,51115,70000,یک کیلوگرم,2mpx35
لواش,نان تنوری,نان تنوری,نان خانگی ,Bakery,نان فانتزی,1534852,55000,نان تنوری,2mpx35
نان شیرین,کلوچه یزدی 12 عددی,کلوچه یزدی,کلوچه یزدی,Bakery,نان فانتزی,51107,80000,12 عددی,2mpx35
نان شیرین,نان شیرمال بزرگ دو عدد,نان شیرمال بزرگ,نان شیرمال بزرگ,Bakery,نان فانتزی,51108,50000,دو عدد,2mpx35
نان شیرین,کلوچه گردویی 19 عدد,کلوچه گردویی,کلوچه گردویی,Bakery,نان فانتزی,51109,90000,19 عدد,2mpx35
نان شیرین,کلوچه شکلاتی 18 عدد,کلوچه شکلاتی,کلوچه شکلاتی,Bakery,نان فانتزی,51110,80000,18 عدد,2mpx35
سنگک,سنگک سنتی یک رو کنجد,سنگک سنتی یک رو کنجد,,Bakery,نان فانتزی,51097,23000,سنگک سنتی یک رو کنجد,2mpx35
سنگک,سنگک سنتی ساده,سنگک سنتی ساده,,Bakery,نان فانتزی,51098,20000,سنگک سنتی ساده,2mpx35
سنگک,سنگک سنتی سبوس دار,سنگک سنتی سبوس دار,,Bakery,نان فانتزی,51099,21000,سنگک سنتی سبوس دار,2mpx35
سنگک,سنگک سنتی سبوس و کنجد,سنگک سنتی سبوس و کنجد,,Bakery,نان فانتزی,51100,25000,سنگک سنتی سبوس و کنجد,2mpx35
سنگک,سنگک سنتی کنجدی یک رو سفید,سنگک سنتی کنجدی یک رو سفید,,Bakery,نان فانتزی,51101,23000,سنگک سنتی کنجدی یک رو سفید,2mpx35
سنگک,سنگک سنتی کنجدی دو رو سفید,سنگک سنتی کنجدی دو رو سفید,,Bakery,نان فانتزی,51102,26000,سنگک سنتی کنجدی دو رو سفید,2mpx35
سنگک,سنگک سنتی کنجدی دو رو کنجد مشکی قهوه ای,سنگک سنتی کنجدی دو رو کنجد مشکی قهوه ای,,Bakery,نان فانتزی,51103,22000,سنگک سنتی کنجدی دو رو کنجد مشکی قهوه ای,2mpx35
سوغات,کلوچه,کلوچه,,Pastry,نان فانتزی,196558,100000,کلوچه,2nlx93
نان بربری,نان بربری ساده,نان بربری ساده,یک عدد,Bakery,نان فانتزی,201248,10000,نان بربری ساده,2ox147
سایر محصولات نانوایی,ارد سبوس دار کامل,ارد سبوس دار کامل,یک کیلوگرم ,Bakery,نان فانتزی,618505,50000,ارد سبوس دار کامل,2ox147
سایر محصولات نانوایی,زعفران گناباد ,زعفران گناباد ,یک مثقال ,Bakery,نان فانتزی,808141,550000,زعفران گناباد ,2ox147
نان لواش,لواش تهران,لواش تهران,هفت عدد,Bakery,نان فانتزی,456363,35000,لواش تهران,2ox147
نان بربری,نان بربری کنجدی,نان بربری کنجدی,یک عدد,Bakery,نان فانتزی,201249,15000,نان بربری کنجدی,2ox147
نان شیرین,نان قندی نرم,نان قندی نرم,یک بسته,Bakery,نان فانتزی,201250,35000,نان قندی نرم,2ox147
سایر محصولات نانوایی,آرد سبوس دار یک کیلوگرم,آرد سبوس دار,یک کیلوگرم,Bakery,نان فانتزی,679378,50000,یک کیلوگرم,2ox147
سوغات,تساج سه مغز,تساج سه مغز,520 گرم,Pastry,نان فانتزی,201944,260000,تساج سه مغز,2myk8w
سوغات,سوهان عسلی کنجدی,سوهان عسلی کنجدی,530 گرم,Pastry,نان فانتزی,201945,125000,سوهان عسلی کنجدی,2myk8w
سوغات,قطاب,قطاب,490 گرم,Pastry,نان فانتزی,201947,126000,قطاب,2myk8w
سوغات,نان چای,نان چای,600 گرم,Pastry,نان فانتزی,201937,140000,نان چای,2myk8w
سوغات,نان چرخی,نان چرخی,600 گرم,Pastry,نان فانتزی,201939,150000,نان چرخی,2myk8w
سوغات,حاجی بادوم,حاجی بادوم,195 گرم,Pastry,نان فانتزی,201941,25000,حاجی بادوم,2myk8w
سوغات,هفت مغز عسلی,هفت مغز عسلی,,Pastry,نان فانتزی,201942,280000,هفت مغز عسلی,2myk8w
سوغات,نه مغز عسلی,نه مغز عسلی,,Pastry,نان فانتزی,201943,285000,نه مغز عسلی,2myk8w
سوغات,نان کنجدی یزد,نان کنجدی یزد,610 گرم,Pastry,نان فانتزی,201929,205000,نان کنجدی یزد,2myk8w
سوغات,مخلوط هفت مدل یزد 990 گرم,مخلوط هفت مدل یزد,220 گرم,Pastry,نان فانتزی,201930,230000,990 گرم,2myk8w
سوغات,پادرازی 500 گرم,پادرازی,,Pastry,نان فانتزی,201931,85000,500 گرم,2myk8w
سوغات,پادرازی 700 گرم,پادرازی,,Pastry,نان فانتزی,201932,110000,700 گرم,2myk8w
سوغات,کلمپه سه طعم,کلمپه سه طعم,گل محمدی، کنجدی، گردویی,Pastry,نان فانتزی,201933,180000,کلمپه سه طعم,2myk8w
سوغات,کلمپه چهار طعم,کلمپه چهار طعم,پسته ای، گردویی,Pastry,نان فانتزی,201934,180000,کلمپه چهار طعم,2myk8w
سوغات,کلوچه زنجبیلی,کلوچه زنجبیلی,450 گرم,Pastry,نان فانتزی,201935,80000,کلوچه زنجبیلی,2myk8w
سوغات,نان برنجی کرمانشاه,نان برنجی کرمانشاه,500 گرم,Pastry,نان فانتزی,201926,70000,نان برنجی کرمانشاه,2myk8w
سوغات,نان برنجی کرمانشاه,نان برنجی کرمانشاه,500 گرم,Pastry,نان فانتزی,201926,70000,نان برنجی کرمانشاه,2myk8w
سوغات,نان برنجی یزدی,نان برنجی یزدی,335 گرم,Pastry,نان فانتزی,201927,110000,نان برنجی یزدی,2myk8w
سوغات,کاک کرمانشاه,کاک کرمانشاه,480 گرم,Pastry,نان فانتزی,201928,65000,کاک کرمانشاه,2myk8w
نان شیرین,نان زنجبیلی,نان زنجبیلی,مغز زنجبیل,Bakery,نان فانتزی,307946,50000,نان زنجبیلی,531yp8
نان شیرین,نان نارگیلی,نان نارگیلی,دو عدد، مغز نارگیل,Bakery,نان فانتزی,307947,50000,نان نارگیلی,531yp8
نان شیرین,نان شیرمال,نان شیرمال,ساده,Bakery,نان فانتزی,307948,50000,نان شیرمال,531yp8
نان شیرین,کلوچه فومن,کلوچه فومن,پنج عددی,Bakery,نان فانتزی,307949,55000,کلوچه فومن,531yp8
نان شیرین,نان خرمایی,نان خرمایی,دو عدد,Bakery,نان فانتزی,307950,50000,نان خرمایی,531yp8
نان تافتون,نان تافتون ساده,نان تافتون ساده,تافتون ساده,Bakery,نان فانتزی,307951,3000,نان تافتون ساده,531yp8
نان تافتون,نان تافتون سبوس دار,نان تافتون سبوس دار,محلی,Bakery,نان فانتزی,307952,4000,نان تافتون سبوس دار,531yp8
نان تیره و رژیمی,نان تست جو یک بسته (۲۲ عدد),نان تست جو,پخت شده با آرد جو,Pastry,نان فانتزی,748790,50000,یک بسته (۲۲ عدد),2my66g
نان سفید,نان  ساندویچی یک بسته (۵ عدد),نان  ساندویچی,پخت شده با آرد گندم,Pastry,نان فانتزی,748777,30000,یک بسته (۵ عدد),2my66g
نان سفید,نان  ساندویچی یک بسته (10 عدد),نان  ساندویچی,پخت شده با آرد گندم,Pastry,نان فانتزی,748780,60000,یک بسته (10 عدد),2my66g
نان سفید,نان ساندویچ مینی یک بسته (۸ عدد),نان ساندویچ مینی,آرد گندم,Pastry,نان فانتزی,748778,35000,یک بسته (۸ عدد),2my66g
نان سفید,نان نیم باگت یک عدد,نان نیم باگت,پخته شده با آرد گندم,Pastry,نان فانتزی,748779,6900,یک عدد,2my66g
نان سفید,نان تست یک بسته (24 عدد),نان تست,پخت شده با آرد گندم,Pastry,نان فانتزی,748781,50000,یک بسته (24 عدد),2my66g
نان سنگک,نان سنگک ساده یک عدد,نان سنگک ساده,یک عدد,Bakery,نان فانتزی,915921,20000,یک عدد,547rwp
نان سنگک,نان سنگک ساده بزرگ,نان سنگک ساده بزرگ,,Bakery,نان فانتزی,918605,25000,نان سنگک ساده بزرگ,547rwp
نان سنگک,نان سنگک سبزی دار,نان سنگک سبزی دار,,Bakery,نان فانتزی,918618,25000,نان سنگک سبزی دار,547rwp
نان سنگک,نان سنگک یک رو سبزی و یک رو کنجد,نان سنگک یک رو سبزی و یک رو کنجد,,Bakery,نان فانتزی,945687,35000,نان سنگک یک رو سبزی و یک رو کنجد,547rwp
نان سنگک,نان سنگک دو رو کنجد ویژه,نان سنگک دو رو کنجد ویژه,,Bakery,نان فانتزی,945690,40000,نان سنگک دو رو کنجد ویژه,547rwp
نان سنگک,نان سنگک یک رو کنجد یک عدد,نان سنگک یک رو کنجد,یک عدد,Bakery,نان فانتزی,915923,25000,یک عدد,547rwp
نان سنگک,نان سنگک دو رو کنجد یک عدد,نان سنگک دو رو کنجد,یک عدد,Bakery,نان فانتزی,915925,30000,یک عدد,547rwp
نان سنگک,نان سنگک سبوس دار,نان سنگک سبوس دار,,Bakery,نان فانتزی,915948,20000,نان سنگک سبوس دار,547rwp
نان شیرین,نان بریوش,نان بریوش,یک بسته، دو عدد,Bakery,نان فانتزی,915958,25000,نان بریوش,547rwp
نان سنگک,نان سنگک سنتی دو رو کنجد (یک عدد),نان سنگک سنتی دو رو کنجد (یک عدد),,Bakery,نان فانتزی,1309540,20000,نان سنگک سنتی دو رو کنجد (یک عدد),59nx49
نان سنگک,نان سنگک سنتی خشخاش کنجد,نان سنگک سنتی خشخاش کنجد,,Bakery,نان فانتزی,611125,25000,نان سنگک سنتی خشخاش کنجد,59nx49
نان سنگک,نان سنگک سنتی خشخاش ،سبزیجات,نان سنگک سنتی خشخاش ،سبزیجات,,Bakery,نان فانتزی,611126,25000,نان سنگک سنتی خشخاش ،سبزیجات,59nx49
نان سنگک,نان سنگک سبزیجات و چند مغز,نان سنگک سبزیجات و چند مغز,یک عدد,Bakery,نان فانتزی,602515,25000,نان سنگک سبزیجات و چند مغز,59nx49
نان سنگک,نان سنگک سنتی خشخاش و سبوس,نان سنگک سنتی خشخاش و سبوس,یک عدد,Bakery,نان فانتزی,602516,25000,نان سنگک سنتی خشخاش و سبوس,59nx49
نان سنگک,نان سنگک سنتی سیاه دانه و سبوس,نان سنگک سنتی سیاه دانه و سبوس,یک عدد,Bakery,نان فانتزی,602517,20000,نان سنگک سنتی سیاه دانه و سبوس,59nx49
نان سنگک,نان سنگک سنتی سیاه دانه و سبزیجات,نان سنگک سنتی سیاه دانه و سبزیجات,یک عدد,Bakery,نان فانتزی,602518,20000,نان سنگک سنتی سیاه دانه و سبزیجات,59nx49
نان سنگک,نان سنگک سنتی سیاه دانه و کنجد,نان سنگک سنتی سیاه دانه و کنجد,یک عدد,Bakery,نان فانتزی,602519,20000,نان سنگک سنتی سیاه دانه و کنجد,59nx49
نان سنگک,نان سنگک سنتی خشخاش ,نان سنگک سنتی خشخاش ,یک عدد,Bakery,نان فانتزی,602520,25000,نان سنگک سنتی خشخاش ,59nx49
نان سنگک,نان سنگک سنتی کنجد و سبوس,نان سنگک سنتی کنجد و سبوس,یک عدد,Bakery,نان فانتزی,602521,25000,نان سنگک سنتی کنجد و سبوس,59nx49
نان سنگک,نان سنگک سنتی میکس,نان سنگک سنتی میکس,یک عدد,Bakery,نان فانتزی,588956,25000,نان سنگک سنتی میکس,59nx49
سایر محصولات نانوایی,نایلون,نایلون,یک عدد,Bakery,نان فانتزی,588966,4000,نایلون,59nx49
سایر محصولات نانوایی,آرد سبوس دار سنگک,آرد سبوس دار سنگک,یک کیلوگرم,Bakery,نان فانتزی,588967,50000,آرد سبوس دار سنگک,59nx49
نان سنگک,نان سنگک سبزیجات و سبوس,نان سنگک سبزیجات و سبوس,یک عدد,Bakery,نان فانتزی,602510,25000,نان سنگک سبزیجات و سبوس,59nx49
نان سنگک,نان سنگک سبزیجات و کنجد,نان سنگک سبزیجات و کنجد,یک عدد,Bakery,نان فانتزی,602511,25000,نان سنگک سبزیجات و کنجد,59nx49
سایر محصولات نانوایی,سبوس گندم ,سبوس گندم ,یک کیلوگرم,Bakery,نان فانتزی,602514,45000,سبوس گندم ,59nx49
نان سنگک,نان سنگک سنتی ساده,نان سنگک سنتی ساده,یک عدد,Bakery,نان فانتزی,588944,15000,نان سنگک سنتی ساده,59nx49
نان سنگک,نان سنگک سنتی دو رو کنجد,نان سنگک سنتی دو رو کنجد,یک عدد,Bakery,نان فانتزی,588947,20000,نان سنگک سنتی دو رو کنجد,59nx49
نان سنگک,نان سنگک سنتی دو رو کنجد,نان سنگک سنتی دو رو کنجد,یک عدد,Bakery,نان فانتزی,588947,20000,نان سنگک سنتی دو رو کنجد,59nx49
نان سنگک,نان سنگک سنتی پر کنجد,نان سنگک سنتی پر کنجد,یک عدد,Bakery,نان فانتزی,588949,30000,نان سنگک سنتی پر کنجد,59nx49
نان سنگک,نان سنگک سنتی سبوسدار,نان سنگک سنتی سبوسدار,یک عدد,Bakery,نان فانتزی,588950,20000,نان سنگک سنتی سبوسدار,59nx49
نان سنگک,نان سنگک سنتی سبزیجات,نان سنگک سنتی سبزیجات,یک عدد,Bakery,نان فانتزی,588952,25000,نان سنگک سنتی سبزیجات,59nx49
نان سنگک,نان سنگک سنتی سیاه دانه,نان سنگک سنتی سیاه دانه,یک عدد,Bakery,نان فانتزی,588953,20000,نان سنگک سنتی سیاه دانه,59nx49
نان سنگک,نان سنگک سنتی چند مغز,نان سنگک سنتی چند مغز,یک عدد,Bakery,نان فانتزی,588954,25000,نان سنگک سنتی چند مغز,59nx49
نان سنگک,نان سنگک ساده,نان سنگک ساده,,Bakery,نان فانتزی,635799,25000,نان سنگک ساده,2zkmm1
نان سنگک,نان سنگک پر کنجد,نان سنگک پر کنجد,,Bakery,نان فانتزی,771932,50000,نان سنگک پر کنجد,2zkmm1
نان سنگک,نان سنگک سبوس و کنجد بزرگ,نان سنگک سبوس و کنجد بزرگ,,Bakery,نان فانتزی,777219,50000,نان سنگک سبوس و کنجد بزرگ,2zkmm1
نان سنگک,نان کنجدی سنگک,نان کنجدی سنگک,,Bakery,نان فانتزی,635800,25000,نان کنجدی سنگک,2zkmm1
نان سنگک,نان سیاه دانه سنگک,نان سیاه دانه سنگک,,Bakery,نان فانتزی,635801,50000,نان سیاه دانه سنگک,2zkmm1
نان سنگک,نان تخم خشخاش سنگک,نان تخم خشخاش سنگک,,Bakery,نان فانتزی,635802,50000,نان تخم خشخاش سنگک,2zkmm1
نان سنگک,نان سبوس دار سنگک,نان سبوس دار سنگک,,Bakery,نان فانتزی,635803,35000,نان سبوس دار سنگک,2zkmm1
نان سنگک,نان چند مغز سنگک,نان چند مغز سنگک,,Bakery,نان فانتزی,635804,70000,نان چند مغز سنگک,2zkmm1
نان سنگک,نان تخم آفتاب گردان سنگک,نان تخم آفتاب گردان سنگک,,Bakery,نان فانتزی,635805,50000,نان تخم آفتاب گردان سنگک,2zkmm1
نان سنگک,نان تخم کتان سنگک,نان تخم کتان سنگک,,Bakery,نان فانتزی,635806,50000,نان تخم کتان سنگک,2zkmm1
نان فانتزی,نان سیمیت,نان سیمیت,یک عدد,Pastry,نان فانتزی,770323,50000,نان سیمیت,26947p
نان فانتزی,نان باگت پنج عددی,نان باگت,100 گرم، پنج عددی,Pastry,نان فانتزی,770289,33000,پنج عددی,26947p
نان فانتزی,نان لقمه ای کوچک شش عدد,نان لقمه ای کوچک,شش عدد,Pastry,نان فانتزی,770294,22000,شش عدد,26947p
نان فانتزی,نان لقمه ای روگن شش عدد,نان لقمه ای روگن,شش عدد,Pastry,نان فانتزی,770297,27000,شش عدد,26947p
نان فانتزی,نان تست ساده,نان تست ساده,یک بسته,Pastry,نان فانتزی,770299,60000,نان تست ساده,26947p
نان فانتزی,نان تست جو,نان تست جو,یک بسته,Pastry,نان فانتزی,770301,65000,نان تست جو,26947p
نان سنگک,نان سنگک سنتی ساده,نان سنگک سنتی ساده,یک عدد,Bakery,نان فانتزی,687984,15000,نان سنگک سنتی ساده,2x73yk
سایر محصولات نانوایی,مخمر,مخمر,به میزان یک قوطی تن ماهی ,Bakery,نان فانتزی,688010,60000,مخمر,2x73yk
نان سنگک,نان سنگک سنتی کنجدی بزرگ,نان سنگک سنتی کنجدی بزرگ,یک عدد,Bakery,نان فانتزی,687986,35000,نان سنگک سنتی کنجدی بزرگ,2x73yk
نان سنگک,نان سنگک سنتی سبوس دار بزرگ,نان سنگک سنتی سبوس دار بزرگ,یک عدد,Bakery,نان فانتزی,687987,40000,نان سنگک سنتی سبوس دار بزرگ,2x73yk
نان سنگک,نان سنگک سنتی سبزیجات بزرگ,نان سنگک سنتی سبزیجات بزرگ,یک عدد,Bakery,نان فانتزی,687989,40000,نان سنگک سنتی سبزیجات بزرگ,2x73yk
نان سنگک,نان سنگک سنتی خشخاش بزرگ,نان سنگک سنتی خشخاش بزرگ,یک عدد,Bakery,نان فانتزی,687990,45000,نان سنگک سنتی خشخاش بزرگ,2x73yk
نان سنگک,نان سنگک سنتی سیاه دانه بزرگ,نان سنگک سنتی سیاه دانه بزرگ,یک عدد,Bakery,نان فانتزی,687992,45000,نان سنگک سنتی سیاه دانه بزرگ,2x73yk
نان سنگک,نان سنگک سنتی ویژه برکت,نان سنگک سنتی ویژه برکت,یک عدد، سبزیجات، سیاه دانه، کنجد، خشخاش، سبوس,Bakery,نان فانتزی,688005,60000,نان سنگک سنتی ویژه برکت,2x73yk
نان سنگک,آرد یک کیلوگرم,آرد,یک کیلوگرم,Bakery,نان فانتزی,688008,60000,یک کیلوگرم,2x73yk
نان سنگک,نان سنگک خشخاش,نان سنگک خشخاش,یک عدد,Bakery,نان فانتزی,682330,60000,نان سنگک خشخاش,2klz39
نان سنگک,نان سنگک مغز تخمه,نان سنگک مغز تخمه,یک عدد,Bakery,نان فانتزی,682337,60000,نان سنگک مغز تخمه,2klz39
نان سنگک,نان سنگک یک رو کنجد,نان سنگک یک رو کنجد,یک عدد,Bakery,نان فانتزی,684649,30000,نان سنگک یک رو کنجد,2klz39
نان سنگک,نان سنگک ساده,نان سنگک ساده,یک عدد,Bakery,نان فانتزی,682300,25000,نان سنگک ساده,2klz39
نان سنگک,نان سنگک کنجدی,نان سنگک کنجدی,یک عدد,Bakery,نان فانتزی,682305,35000,نان سنگک کنجدی,2klz39
نان سنگک,نان سنگک سبوس دار,نان سنگک سبوس دار,یک عدد,Bakery,نان فانتزی,682307,50000,نان سنگک سبوس دار,2klz39
نان سنگک,نان سنگک سیاهدانه,نان سنگک سیاهدانه,یک عدد,Bakery,نان فانتزی,682319,50000,نان سنگک سیاهدانه,2klz39
نان سنگک,نان سنگک سبزیجات,نان سنگک سبزیجات,یک عدد,Bakery,نان فانتزی,682326,50000,نان سنگک سبزیجات,2klz39
تارت,تارت چاکلت پتیسیر یک بسته,تارت چاکلت پتیسیر یک بسته,بسته شش عددی,Pastry,نان فانتزی,694958,390000,تارت چاکلت پتیسیر یک بسته,2mmoxz
تارت,تارت چاکلت پتیسیر تارت چاکلت پتیسیر	,تارت چاکلت پتیسیر,یک نفره، تارت چاکلت بر پایه تارت بیسکویت با لایه میانی شکلات همراه با کرم پتیسیر شکلاتی که در مجموع یک طعم بی نظیر تشکیل می دهند,Pastry,نان فانتزی,694865,65000,تارت چاکلت پتیسیر	,2mmoxz
نان سنگک,نان سنگک کنجدی معمولی,نان سنگک کنجدی معمولی,,Bakery,نان فانتزی,728975,30000,نان سنگک کنجدی معمولی,28kxoy
نان سنگک,نان سنگک پر کنجد,نان سنگک پر کنجد,,Bakery,نان فانتزی,728977,50000,نان سنگک پر کنجد,28kxoy
نان سنگک,نان سنگک سبوس دار,نان سنگک سبوس دار,,Bakery,نان فانتزی,728978,40000,نان سنگک سبوس دار,28kxoy
نان سنگک,نان سنگک سبزیجات,نان سنگک سبزیجات,,Bakery,نان فانتزی,728981,50000,نان سنگک سبزیجات,28kxoy
نان سنگک,نان سنگک سیاه دانه,نان سنگک سیاه دانه,,Bakery,نان فانتزی,728983,50000,نان سنگک سیاه دانه,28kxoy
نان سنگک,نان سنگک کنجد سفید,نان سنگک کنجد سفید,,Bakery,نان فانتزی,728984,50000,نان سنگک کنجد سفید,28kxoy
نان سنگک,نان سنگک ساده بزرگ,نان سنگک ساده بزرگ,,Bakery,نان فانتزی,728985,25000,نان سنگک ساده بزرگ,28kxoy
سایر محصولات ,آرد,آرد,یک کیلوگرم,Bakery,نان فانتزی,811002,70000,آرد,28kxoy
نان لواش,نان لواش سنتی ساده 50 عدد,نان لواش سنتی ساده,,Bakery,نان فانتزی,1026466,120000,50 عدد,27mkw3
نان لواش,نان لواش سنتی ساده ۲۰ عدد,نان لواش سنتی ساده,,Bakery,نان فانتزی,742885,50000,۲۰ عدد,27mkw3
نان لواش,نان لواش سنتی ساده 30 عدد,نان لواش سنتی ساده,,Bakery,نان فانتزی,742893,75000,30 عدد,27mkw3
نان لواش,نان لواش سنتی ساده 40 عدد,نان لواش سنتی ساده,,Bakery,نان فانتزی,742896,100000,40 عدد,27mkw3
نان لواش,نان لواش سنتی ساده 60 عدد,نان لواش سنتی ساده,,Bakery,نان فانتزی,742899,150000,60 عدد,27mkw3
سایر محصولات نانوایی,کیسه نان بزرگ,کیسه نان بزرگ,یک عدد,Bakery,نان فانتزی,742890,4000,کیسه نان بزرگ,27mkw3
نان بربری,نان بربری سبزیجات ,نان بربری سبزیجات ,یک عدد,Bakery,نان فانتزی,745804,25000,نان بربری سبزیجات ,51o1ko
نان بربری,نان بربری کنجدی,نان بربری کنجدی,یک عدد,Bakery,نان فانتزی,712780,20000,نان بربری کنجدی,51o1ko
نان بربری,نان بربری پر کنجد,نان بربری پر کنجد,یک عدد,Bakery,نان فانتزی,712783,25000,نان بربری پر کنجد,51o1ko
نان بربری,نان بربری سبوس دار,نان بربری سبوس دار,یک عدد,Bakery,نان فانتزی,712784,25000,نان بربری سبوس دار,51o1ko
نان بربری,نان بربری میکس کنجد و سبوس,نان بربری میکس کنجد و سبوس,یک عدد,Bakery,نان فانتزی,712786,30000,نان بربری میکس کنجد و سبوس,51o1ko
نان بربری,نان بربری میکس مغز تخمه و کنجد,نان بربری میکس مغز تخمه و کنجد,,Bakery,نان فانتزی,839686,30000,نان بربری میکس مغز تخمه و کنجد,51o1ko
سایر محصولات نانوایی,سبوس گندم یک کیلوگرم,سبوس گندم,یک کیلوگرم,Bakery,نان فانتزی,712773,75000,یک کیلوگرم,51o1ko
سایر محصولات نانوایی,آرد گندم یک کیلوگرم,آرد گندم,یک کیلوگرم,Bakery,نان فانتزی,712775,750000,یک کیلوگرم,51o1ko
نان بربری,نان بربری ساده,نان بربری ساده,یک عدد,Bakery,نان فانتزی,712779,15000,نان بربری ساده,51o1ko
سایر محصولات قنادی,بکینگ پودر یک بسته,بکینگ پودر,,Pastry,نان فانتزی,756146,20000,یک بسته,569gl7
نان فانتزی,نان خرمایی یک بسته,نان خرمایی,,Pastry,نان فانتزی,756137,35000,یک بسته,569gl7
نان فانتزی,نان لقمه ای پنج عدد,نان لقمه ای,یک بسته,Pastry,نان فانتزی,756139,35000,پنج عدد,569gl7
نان فانتزی,نان لقمه ای 10 عدد,نان لقمه ای,یک بسته,Pastry,نان فانتزی,756140,70000,10 عدد,569gl7
نان فانتزی,نان تست بزرگ,نان تست بزرگ,,Pastry,نان فانتزی,756141,60000,نان تست بزرگ,569gl7
نان فانتزی,نان تست کوچک,نان تست کوچک,,Pastry,نان فانتزی,756142,45000,نان تست کوچک,569gl7
نان فانتزی,نان تست جو,نان تست جو,,Pastry,نان فانتزی,756143,35000,نان تست جو,569gl7
سایر محصولات قنادی,پودر وانیل یک بسته,پودر وانیل,,Pastry,نان فانتزی,756145,18000,یک بسته,569gl7
نان فانتزی,نان شیرمال یک عدد,نان شیرمال,یک بسته,Pastry,نان فانتزی,756135,40000,یک عدد,569gl7
نان فانتزی,نان شیرمال دو عدد,نان شیرمال,یک بسته,Pastry,نان فانتزی,756138,80000,دو عدد,569gl7
نان فانتزی,نان باگت معمولی یک عدد,نان باگت معمولی,   ,Pastry,نان فانتزی,756136,11000,یک عدد,569gl7
خواروبار,کشک بیرجندی ناساب گوسفندی ۵۰۰ گرم,کشک بیرجندی ناساب گوسفندی,±50 گرم، سربیشه بیرجند دیگ چدنی,Pastry,نان فانتزی,1278605,190000,۵۰۰ گرم,5x7nwm
